day,month,year,cases,deaths,countriesAndTerritories,popData2019
6,7,2020,279,38,Afghanistan,38041757
5,7,2020,348,7,Afghanistan,38041757
4,7,2020,302,12,Afghanistan,38041757
3,7,2020,186,33,Afghanistan,38041757
2,7,2020,319,28,Afghanistan,38041757
1,7,2020,279,13,Afghanistan,38041757
30,6,2020,271,12,Afghanistan,38041757
29,6,2020,351,18,Afghanistan,38041757
28,6,2020,165,20,Afghanistan,38041757
27,6,2020,276,8,Afghanistan,38041757
26,6,2020,460,36,Afghanistan,38041757
25,6,2020,234,21,Afghanistan,38041757
24,6,2020,338,20,Afghanistan,38041757
23,6,2020,310,17,Afghanistan,38041757
22,6,2020,409,12,Afghanistan,38041757
21,6,2020,546,21,Afghanistan,38041757
20,6,2020,346,2,Afghanistan,38041757
19,6,2020,658,42,Afghanistan,38041757
18,6,2020,564,13,Afghanistan,38041757
17,6,2020,783,13,Afghanistan,38041757
16,6,2020,761,7,Afghanistan,38041757
15,6,2020,664,20,Afghanistan,38041757
14,6,2020,556,5,Afghanistan,38041757
13,6,2020,656,20,Afghanistan,38041757
12,6,2020,747,21,Afghanistan,38041757
11,6,2020,684,21,Afghanistan,38041757
10,6,2020,542,15,Afghanistan,38041757
9,6,2020,575,12,Afghanistan,38041757
8,6,2020,791,30,Afghanistan,38041757
7,6,2020,582,18,Afghanistan,38041757
6,6,2020,915,9,Afghanistan,38041757
5,6,2020,787,6,Afghanistan,38041757
4,6,2020,758,24,Afghanistan,38041757
3,6,2020,759,5,Afghanistan,38041757
2,6,2020,545,8,Afghanistan,38041757
1,6,2020,680,8,Afghanistan,38041757
31,5,2020,866,3,Afghanistan,38041757
30,5,2020,623,11,Afghanistan,38041757
29,5,2020,580,8,Afghanistan,38041757
28,5,2020,625,7,Afghanistan,38041757
27,5,2020,658,1,Afghanistan,38041757
26,5,2020,591,1,Afghanistan,38041757
25,5,2020,584,2,Afghanistan,38041757
24,5,2020,782,11,Afghanistan,38041757
23,5,2020,540,12,Afghanistan,38041757
22,5,2020,531,6,Afghanistan,38041757
21,5,2020,492,9,Afghanistan,38041757
20,5,2020,581,5,Afghanistan,38041757
19,5,2020,408,4,Afghanistan,38041757
18,5,2020,262,1,Afghanistan,38041757
