lng,lat
-2.7528496,55.798581
-2.4240727,55.604996
-2.8177802,55.623849
-4.2792687,55.875920
-4.2792687,55.875920
-3.1103223,55.213758
-3.0010224,56.398270
-3.0838323,56.296315
-3.1982547,55.976285
-4.3455775,55.848789
-2.9422857,56.440598
-4.5562691,54.753612
-3.1986326,56.216099
-3.1781353,56.204975
-3.2203126,56.253894
-2.1674276,57.118010
-2.9928050,56.636154
-4.5532362,54.762216
-2.1807880,57.114847
-4.2118764,56.104526
-3.2175867,56.254460
-3.5802003,55.647038
-3.7884206,55.239133
-2.6513502,55.374147
-4.3353438,54.857488
-3.0011762,56.398574
-2.1074622,57.167303
-3.4201483,56.214922
-3.3494012,56.156410
-3.1552755,55.953693
-2.5484723,55.442943
-2.6513502,55.374147
-2.7192144,56.506150
-3.2185406,56.254001
-2.1470039,57.131331
-3.5367243,55.107398
-2.7424066,56.287692
-3.7082697,54.884109
-3.9631757,56.191137
-3.7746643,55.266098
-3.0724101,56.453127
-2.9583146,56.284682
-2.9674838,56.283173
-2.9108434,56.502556
-4.5937199,55.339365
-4.6191492,55.313653
-4.2371923,54.871741
-3.1953794,55.976583
-4.8108435,56.065461
-2.9724241,55.120938
-2.2202507,56.975635
-3.1851306,56.217487
-3.8892396,55.219189
-3.7638307,56.121175
-4.2012967,55.488897
-2.9082075,55.606230
-3.2786615,56.546214
-3.4370619,56.584197
-3.5650410,54.989574
-3.9778718,55.196303
-3.3035350,56.052340
-3.9553991,55.196216
-3.1813064,55.935475
-4.3173071,55.907924
-3.8840501,56.062965
-3.6091043,56.060118
-3.7079888,55.891735
-2.1822029,57.100382
-3.2562559,55.926557
-2.1569227,57.133025
-3.9186660,56.142141
-2.9057199,55.546493
-3.4605441,56.449956
-3.7397020,56.102674
-4.2883856,55.799895
-3.1737195,56.192348
-3.6996900,55.220180
-2.7201874,56.506054
-4.1879934,55.753821
-3.1741387,55.117813
-2.9545449,56.314900
-2.1577517,57.133743
-3.6341644,56.075424
-3.1138118,55.214895
-3.2754685,55.960864
-2.2155980,57.183467
-2.6513179,55.381785
-3.8361328,56.798550
-4.2795654,55.870072
-2.2066418,57.185216
-3.3314451,55.602993
-2.2984177,57.184421
-2.9404597,56.470414
-3.1621386,56.597133
-3.0121607,56.463857
-3.0172847,56.464902
-3.2374537,56.384815
-2.6513502,55.374147
-2.8491313,56.481700
-2.8313736,55.139416
-3.0511498,55.869983
-2.1119698,57.181492
-3.4377398,55.340826
-4.4394687,55.498043
-2.6627722,55.377770
-3.2323633,55.915027
-2.1239433,57.151118
-2.9989571,56.406013
-2.6002006,55.489228
-2.1529782,55.767547
-3.3607471,56.608147
-4.2845029,56.388218
-3.5684882,56.565267
-2.2034700,57.186048
-4.8245951,56.070037
-2.5114904,55.528915
-3.5933404,56.564142
-2.8406721,55.632410
-2.8406721,55.632410
-3.4184002,55.315889
-3.7257857,55.249202
-2.9141157,56.503520
-4.8237167,56.070111
-2.2732558,57.159775
-2.7174224,56.505890
-3.3494256,56.033040
-3.4242229,56.576168
-3.9429319,55.204774
-2.9057199,55.546493
-2.1578771,57.124400
-3.9440952,55.196397
-3.9863140,55.774053
-4.5793380,56.012906
-4.0506880,55.001768
-2.2154305,57.183099
-2.9983007,56.607819
-3.2174139,56.254102
-3.2535303,56.302261
-3.3376106,54.981117
-2.6093878,56.708517
-4.7155555,55.211406
-3.8556900,56.394714
-2.8028474,56.288843
-4.1784728,55.097519
-2.6458817,55.406525
-4.1776066,55.098882
-2.1123416,57.194966
-3.2531799,56.390228
-4.1425323,55.877038
-3.1770649,55.652647
-3.1560242,55.968063
-2.1026628,57.165780
-3.1702478,55.935042
-2.1158068,57.139089
-2.1155918,57.138999
-3.0272882,56.489159
-2.1414018,57.135110
-2.5546770,55.445790
-3.1486271,55.967144
-3.1993622,55.975825
-3.1917996,55.969609
-2.2111295,57.183107
-4.1387765,55.946205
-3.4211638,56.229286
-2.9607787,55.620476
-3.2016538,55.972209
-4.8237167,56.070111
-4.8237167,56.070111
-4.3232484,55.943043
-4.3078194,55.915202
-3.3121762,56.268678
-4.2368320,56.235197
-2.1578059,57.138692
-3.2480616,56.064837
-3.9529797,55.665395
-2.6357347,56.711440
-3.8856371,55.269305
-2.2079916,57.184028
-3.0126594,56.464302
-3.1578426,55.953849
-4.5066411,55.682746
-2.1362070,57.164553
-2.0946459,57.134435
-3.4415513,56.552428
-2.2043002,57.186586
-2.9047886,56.500714
-4.5067909,56.081812
-3.3641248,56.534614
-2.0927705,57.177106
-3.7144544,55.135762
-3.8377466,55.223130
-3.2844625,56.390806
-3.7835600,56.369804
-3.2978478,55.959462
-3.5633633,56.551495
-3.7683111,55.260905
-2.1232705,57.152574
-4.8246016,55.987754
-4.8246016,55.987754
-3.8696261,55.213289
-4.3577103,55.880283
-2.9242383,55.558935
-2.6485082,55.383687
-2.2170269,56.958752
-4.1998804,54.919253
-3.0131678,56.465107
-3.1659894,55.899859
-3.1910355,56.366132
-3.7431667,55.099855
-2.8799857,55.352137
-2.9513918,55.080486
-2.7147217,56.500515
-3.3688048,55.682109
-4.3177118,55.874482
-2.4324088,57.268650
-3.2483417,55.013458
-3.1533072,56.210240
-3.5026192,56.414321
-3.7562672,55.091218
-3.8775376,55.700274
-3.9935263,55.949450
-2.9061744,55.359404
-3.2240674,56.123661
-3.3706970,55.042696
-3.1845487,56.198624
-2.4542769,57.267136
-3.5231186,55.642099
-3.0541980,56.458116
-3.8955993,55.217382
-3.1952593,55.644743
-4.0680269,55.092524
-3.5842189,54.976474
-4.0472674,54.989871
-4.0584674,55.004063
-2.8407644,56.477804
-2.7401887,56.055631
-3.7152322,56.333747
-3.8445979,55.215917
-2.1392504,57.134124
-3.1408634,56.301463
-4.0404532,55.006524
-3.5950521,55.048680
-2.3240008,57.158845
-3.4656586,55.225733
-2.5912804,56.564143
-3.5694882,56.557977
-4.4239851,55.503744
-3.7689650,55.233125
-5.1414087,54.920933
-4.1928290,55.456154
-3.0114896,56.491714
-2.1639914,55.888803
-3.9734334,56.108388
-3.7646859,55.232378
-3.8086324,56.030305
-2.4939420,55.367336
-2.4939420,55.367336
-3.6041797,55.108595
-4.0574106,55.004800
-4.0680817,56.190864
-3.6114287,56.564718
-3.4649275,56.069821
-2.4939420,55.367336
-3.7751064,55.662796
-2.4939420,55.367336
-4.3127258,55.957262
-3.7679132,55.241319
-4.7735783,55.949273
-3.1990730,55.950938
-2.4939420,55.367336
-2.9771551,56.478423
-3.2745610,56.637092
-3.1879282,56.614499
-2.6698808,56.730127
-2.7725586,55.601498
-3.2745610,56.637092
-2.5193551,55.992068
-2.7522056,56.293114
-2.2166062,57.107020
-3.3922254,55.719048
-3.2745610,56.637092
-3.2745610,56.637092
-3.2745610,56.637092
-3.2745610,56.637092
-2.4939420,55.367336
-3.7518374,55.104583
-3.2745610,56.637092
-3.0443413,56.459637
-2.2767481,57.096167
-4.7055687,55.210190
-2.1293862,57.147879
-3.1477761,55.938398
-3.8193558,56.329296
-3.7133427,55.204980
-2.8469759,55.490123
-2.7790449,55.183075
-2.4939420,55.367336
-2.8853329,56.585944
-2.7764752,55.373685
-3.2254779,56.255415
-3.2421091,56.258574
-3.8529451,56.362891
-3.6009109,54.999353
-4.0550807,55.005109
-3.4090262,56.206243
-4.0743964,54.967301
-2.0891450,57.182588
-3.8045954,56.153476
-4.5954583,55.447823
-2.2547703,57.188200
-3.8098092,55.301369
-4.0538359,55.784626
-2.6494492,55.383322
-3.0249336,56.323412
-3.9440952,55.196397
-3.5881394,56.564299
-3.5881394,56.564299
-4.1228333,55.091670
-2.1320147,57.143474
-3.1419863,55.953817
-2.6682175,55.606784
-2.1535855,57.125034
-2.1766643,57.119210
-4.0196365,55.764792
-2.7838400,55.602146
-3.5889526,56.564288
-2.1350967,57.127661
-2.1365349,57.114544
-2.7450268,55.219951
-2.7811015,55.408252
-2.6686744,55.624303
-2.9053474,56.469623
-3.7553054,55.079998
-3.2745610,56.637092
-2.1625285,57.280967
-3.5299781,56.538522
-2.0869913,57.110995
-4.3192107,55.883532
-2.2945965,57.182364
-2.1218903,57.130010
-2.3248077,57.156598
-2.1293390,57.181655
-4.1465986,55.925488
-2.1577594,57.135539
-2.1374658,57.142929
-2.1821231,57.184913
-3.2722702,56.636846
-2.1321208,57.173190
-2.2186547,57.152067
-2.1188334,57.155435
-2.2067787,57.186042
-2.1037355,57.135596
-4.6188627,55.607504
-4.6143463,55.469650
-4.5066411,55.682746
-4.4805921,54.969487
-3.1931630,56.216511
-2.2210225,55.737523
-2.1544893,57.143718
-2.2185011,57.154043
-2.8175246,55.160268
-3.8864952,55.181124
-2.9830277,55.214222
-2.6548091,55.564175
-3.4416128,55.051943
-2.4939420,55.367336
-2.9989894,56.635746
-4.2449564,54.860002
-2.1295329,57.142579
-3.3027435,55.928770
-4.1199393,55.093249
-3.3611719,54.992566
-4.3811914,55.303605
-4.3086496,55.832231
-2.7478609,55.429396
-4.6471088,55.545953
-4.5781741,54.909745
-3.5192700,54.994379
-3.4886899,55.894313
-3.6933399,55.222425
-4.1306139,55.049380
-3.1510540,55.951756
-3.7043623,55.980390
-3.6697115,56.313702
-2.6941540,57.062120
-2.9975703,55.148413
-2.7888918,55.212487
-2.9360961,56.386738
-2.7759772,55.372431
-3.6152178,56.187008
-3.2789569,55.022127
-2.2785222,57.200546
-3.9632976,55.197078
-3.5987740,55.071369
-3.2269398,55.014215
-4.1332088,55.089332
-4.1408430,55.059177
-2.1749853,57.179803
-3.2975514,54.997306
-2.5062605,55.355964
-4.1180980,55.088068
-3.7861479,55.227033
-3.5794507,55.077823
-3.8026069,56.656081
-2.4939420,55.367336
-3.7145027,56.295837
-3.8852257,55.697999
-3.7139374,55.207848
-2.2169099,57.108142
-4.0769472,54.925911
-3.5575191,56.417059
-2.9311065,56.381385
-2.8054455,56.335545
-5.0078289,55.059262
-4.9281677,54.907743
-3.8041700,56.722910
-2.1462765,57.135365
-3.2194194,55.137319
-4.1800632,55.097939
-3.5208960,55.152891
-4.1365410,55.054849
-3.7746285,55.240233
-2.9060088,56.279146
-4.0927267,55.001321
-3.1740491,55.114759
-3.0267744,55.915206
-2.4526410,57.268938
-2.7326753,56.504903
-3.3296194,55.196198
-4.1880817,55.192981
-2.1435182,57.127023
-2.1020581,57.132408
-3.1705672,56.215829
-3.2544577,55.895665
-3.5967165,55.125859
-3.5656102,56.056903
-3.8942290,55.221628
-2.1559315,57.133026
-3.6353786,55.058750
-2.2933008,57.206711
-3.7091461,55.213397
-2.4332537,57.185285
-2.1023313,57.165510
-3.7518374,55.104583
-3.8485044,56.380174
-3.9253305,55.237318
-3.4351807,56.405506
-3.2997151,56.538808
-2.2798468,57.200633
-4.5533997,56.081755
-3.1736405,56.105282
-3.4677518,56.531636
-3.3094658,55.036720
-3.3094658,55.036720
-4.4468818,55.617440
-3.2316275,55.937229
-2.5747759,56.570240
-3.7616641,55.231613
-3.7306587,56.335060
-3.6535479,56.152804
-2.8236824,56.483669
-2.1135157,57.146277
-2.1434129,57.142474
-3.8745367,55.217438
-2.7928684,55.199071
-2.1008560,57.170183
-4.7100143,55.213147
-2.3374566,57.165996
-3.7693975,55.997086
-2.2043926,55.797707
-2.4130697,55.931552
-3.5733742,55.054714
-3.0192457,56.455713
-2.5921851,56.559557
-4.6829366,55.305976
-3.7338092,56.158264
-3.7610336,55.998284
-2.3314640,57.161521
-3.2220207,56.256842
-2.2115705,57.185019
-3.2745610,56.637092
-2.1355985,57.174462
-3.2108884,56.379597
-2.7182346,56.505886
-3.1790130,56.217815
-2.9627428,55.103069
-2.0205378,55.774379
-2.1764581,57.141803
-2.7930183,55.198711
-3.2202685,56.257578
-2.1732463,57.196963
-2.6853976,56.315604
-3.5728943,55.054451
-2.6424039,56.709789
-4.1371436,55.092588
-3.9528707,55.375468
-3.8229147,55.277987
-3.4678109,56.069607
-3.4647703,56.069913
-3.2998776,56.538806
-3.9165393,56.138221
-2.1911960,55.890767
-2.1761207,57.105601
-2.1495665,57.111385
-2.3416011,57.095468
-2.1766229,57.141713
-2.1455357,57.178044
-3.4333279,56.403641
-2.3416020,57.095558
-2.3639838,55.749043
-3.1855662,55.233539
-3.8949461,55.011574
-2.5828976,56.717179
-3.0456997,56.491341
-2.2730224,57.098978
-2.2483673,57.269418
-3.9620146,56.382833
-3.8509510,55.203778
-4.3080135,55.875384
-4.1436994,55.124291
-3.1476679,55.907669
-3.2002209,56.184366
-3.7447535,55.991435
-3.4583913,55.254847
-2.8942002,56.471861
-3.9448470,55.205372
-3.0210302,56.455698
-2.1172893,57.137650
-3.9794775,55.196996
-2.1322788,57.124879
-3.4029367,56.277836
-2.1028934,57.129847
-4.0386290,56.194678
-3.3979454,56.393262
-4.1982570,54.860857
-4.8236941,55.193307
-2.1771173,57.141442
-2.1195595,57.124353
-3.9911466,55.156900
-3.6951381,56.139391
-2.1884343,57.157326
-2.1037284,57.133081
-2.6385759,56.756668
-2.2414857,57.104684
-2.4244544,57.269037
-3.0562151,56.302664
-4.1303875,55.080483
-2.2894819,57.184082
-2.2741188,57.097700
-2.1616109,55.889192
-2.1850384,57.139365
-3.9248864,56.148084
-3.7709604,55.065571
-3.2219395,56.259359
-3.2173677,55.712010
-2.7195002,56.504082
-3.2523439,55.001374
-4.0474735,56.188242
-2.9944563,56.636950
-2.9944563,56.636950
-2.9933034,56.636510
-2.9933034,56.636510
-3.4458605,56.584365
-3.7686908,55.106407
-4.3773467,55.307815
-2.3379680,57.095208
-3.5951220,56.563940
-2.2233331,57.160413
-2.6443610,55.410127
-4.0559860,55.004465
-2.5912741,56.709593
-2.8069241,55.179389
-3.8834817,55.267001
-4.1702758,55.116900
-2.7769820,55.375390
-3.6893761,56.297710
-2.7922864,55.201412
-2.7578381,56.503943
-4.1380973,55.084033
-3.3431989,56.572758
-2.1702505,57.157352
-4.7158939,55.211758
-3.1742401,55.115925
-4.1967350,56.245082
-2.1442219,57.138071
-2.2190427,57.161768
-2.1415678,57.178498
-2.1850729,57.146282
-2.3379680,57.095208
-2.1075538,57.198743
-2.5193463,56.752856
-2.5193463,56.752856
-2.1765300,57.122219
-2.4255421,55.594119
-4.4877655,55.849509
-2.8421565,56.482017
-2.8466941,56.481627
-2.7314234,56.504012
-2.1708883,57.116478
-2.1338427,57.191981
-4.1354563,55.862592
-4.2368070,55.754649
-2.1722065,57.186903
-2.1048895,57.192996
-2.1410712,57.178408
-3.9524907,56.183848
-3.4739719,56.411251
-2.2168971,57.162400
-3.0018920,56.609937
-4.1742950,56.128200
-2.2042977,57.186136
-3.4278190,56.398897
-2.6091322,56.601700
-2.1355652,57.165389
-2.2113945,57.183169
-2.0861194,57.232895
-2.8654546,56.492639
-3.0177761,56.455366
-3.0427033,56.494601
-2.6180064,56.719130
-2.6042953,56.716897
-2.2765300,57.221840
-3.9713995,56.109499
-2.1726748,57.145491
-2.1739065,57.196602
-2.1831878,57.139368
-3.9449327,56.120433
-3.1752479,56.105267
-2.1578499,57.118022
-2.8394797,56.478442
-3.7641142,55.191045
-2.1325528,55.807105
-3.8260157,56.378639
-3.1452188,56.209327
-3.0245741,56.484869
-3.9616262,55.105519
-3.0192646,56.455812
-4.6964640,55.648428
-2.2057856,57.185954
-2.9335088,56.380288
-2.6010882,56.710444
-4.6191852,55.342867
-3.8427060,55.670247
-3.0170222,56.196072
-3.4560316,56.387113
-4.4008620,55.926823
-4.1918073,55.134940
-2.1025141,57.171798
-2.6142721,56.717567
-2.4977328,57.046884
-4.5077829,55.605881
-3.2565404,56.624696
-2.5162810,56.001964
-3.5436423,55.908912
-3.0093904,56.463430
-4.3304965,55.908277
-2.2174544,57.186887
-3.3535242,56.419722
-3.3535242,56.419722
-3.7803248,55.662181
-3.7803248,55.662181
-3.8864276,55.189663
-3.7326067,55.228794
-2.5930488,56.718568
-2.5979641,56.719443
-3.8864276,55.189663
-3.8864276,55.189663
-3.3469978,54.984725
-2.1066992,57.132090
-2.1119390,57.176785
-2.8384559,55.550926
-3.0756834,56.397285
-4.4837622,55.622990
-3.9182369,56.139991
-3.5644406,54.990211
-2.1229315,55.842156
-3.3658317,56.038610
-2.1103159,57.181583
-2.1670498,57.180712
-3.4618869,56.413101
-3.5188958,56.501370
