lng,lat
-3.7453885,56.282107
-2.6938952,56.667468
-4.9053541,55.984707
-4.7493042,56.193944
-3.8879801,56.379310
-3.1222889,56.318345
-2.7862767,57.067504
-3.3902537,56.360014
-3.3756274,56.358380
-3.1595959,56.577930
-3.3365565,56.573638
-5.3179054,56.521151
-3.8554873,56.772655
-3.5060825,56.259821
-5.2505013,56.417756
-3.7560596,55.225762
-2.1558271,57.265166
-3.9815076,56.102777
-3.4008450,56.560261
-2.8096556,56.534073
-3.4190946,56.221313
-3.6471170,55.100563
-3.4957752,56.161105
-4.7067897,56.206028
-4.2194953,56.245125
-2.9989513,56.683632
-3.4120897,56.420866
-3.9677731,56.101469
-4.2201716,56.240080
-3.7082770,57.241071
-2.8933365,57.075591
-2.7805864,57.455344
-3.9628945,56.097233
-2.8799877,55.352226
-4.0763521,56.385463
-4.2034155,56.240560
-2.5231089,57.560605
-5.2131749,56.034148
-3.3783473,57.014233
-4.2132019,56.245148
-4.2860213,56.486200
-4.2034155,56.240560
-4.4471278,56.180075
-2.9208859,56.326924
-4.3383805,56.458085
-4.2025410,56.242193
-4.2132019,56.245148
-3.9750449,56.108452
-4.9053541,55.984707
-3.8931454,57.097356
-4.1994194,56.244046
-4.3348861,56.356148
-4.3769782,56.166166
-4.2144933,56.236767
-5.4837360,56.060692
-4.4507209,56.084735
-4.1925594,56.236978
-4.7233439,56.202968
-4.2364688,56.237270
-4.2863298,56.385992
-3.9728864,56.094557
-5.4791147,55.793341
-4.2867034,56.376009
-4.2390926,56.378856
-4.1370370,56.398810
-3.5266489,57.656670
-3.8438965,56.385365
-4.2361258,56.209237
-5.0850996,56.817495
-3.4076455,57.613133
-4.3288111,56.314922
-3.0178567,56.294449
-4.3265093,56.311640
-3.4829863,56.205288
-3.9723908,56.094296
-4.3458967,56.190037
-2.3688721,57.265439
-2.3090096,57.540651
-4.2208424,56.246090
-2.6512660,57.642829
-4.7126799,56.243739
-5.4992572,55.790162
-3.9795928,56.099932
-4.0345033,56.208388
-4.4274183,56.174173
-4.1743299,56.117415
-2.5813817,56.872874
-3.0311530,56.469990
-3.3270543,56.311289
-5.4490087,56.022738
-2.8881524,56.477025
-5.2362213,56.427209
-2.3428817,57.233983
-3.1159219,56.277431
-3.6502009,55.023230
-5.6174025,55.924758
-5.6174025,55.924758
-3.5049260,56.722571
-2.5223283,57.037801
-4.1696919,57.041385
-4.9515253,55.948821
-3.0207965,56.465134
-2.8474679,56.472638
-3.0279721,56.460403
-4.2250265,56.379289
-2.1900584,57.344616
-2.4932034,56.829323
-3.2397075,56.658108
-2.7287136,57.142774
-3.8750907,57.585050
-2.8582587,57.142314
-3.0326306,56.457453
-2.6761696,56.807264
-3.4683636,56.547442
-3.9765571,56.350880
-2.5782304,56.966227
-2.4664407,56.835598
-3.9860665,56.378136
-2.6935012,57.239094
-2.6935012,57.239094
-4.3669368,56.165280
-3.3851178,56.396910
-3.3107877,56.383792
-4.2185234,56.236695
-3.2903918,57.601449
-4.5444520,56.214060
-4.3661103,56.164937
-5.2880454,55.703845
-2.5378838,57.655758
-4.3904034,56.164469
-4.2693388,56.252246
-2.6328608,55.382331
-2.6793569,56.621191
-3.8684525,56.605330
-2.6616429,55.404643
-3.1368852,56.276342
-3.2999710,57.457167
-3.2999710,57.457167
-3.7735344,56.735211
-4.3674237,56.220273
-3.6244313,55.071434
-4.9399996,56.252566
-5.4728254,56.151896
-4.0190902,56.710806
-4.2406418,57.450432
-3.3299033,56.764094
-5.0241697,56.275616
-4.1833362,57.035127
-3.6771946,57.286412
-4.9324413,55.967615
-2.8144940,56.532245
-4.2688866,57.464025
-3.4181852,56.588816
-3.0171523,56.462379
-2.7814454,56.506403
-2.8653629,56.837360
-4.3782703,56.166743
-2.6558167,56.739006
-3.4288400,56.340077
-3.0852045,56.606363
-4.4578065,56.185795
-3.0047222,56.409561
-4.3385045,57.379185
-5.1906053,56.680003
-3.8557301,56.770944
-3.7829964,56.727887
-3.7829964,56.727887
-4.0054631,56.352752
-3.6874039,56.124490
-2.5891932,57.201897
-2.9527778,56.419135
-4.1882884,56.113933
-3.0121521,56.688916
-2.8313235,56.402399
-4.2677182,56.389030
-3.0268340,56.460322
-2.3893585,57.399850
-2.8138280,56.425335
-4.2731378,56.180702
-2.7851169,57.075058
-2.8637241,56.837371
-2.9014140,56.768826
-3.6873217,56.126288
-3.8576429,56.716913
-3.2418109,56.513614
-2.6764631,56.723534
-2.9699220,56.487644
-5.2673298,56.254598
-4.2586072,56.683328
-3.1213439,56.462469
-4.2681782,56.369520
-3.7215803,56.291516
-2.7952622,57.471152
-3.5907384,57.604583
-3.8300149,56.720017
-3.8116242,57.293891
-2.8395584,56.907340
-2.7125104,56.823682
-2.9259444,56.388881
-3.2884594,56.470730
-4.2908588,56.746543
-4.3986624,56.152266
-2.0383718,57.509585
-4.8667142,54.955005
-3.0437399,56.532327
-5.4185008,56.044447
-3.2281645,56.252109
-3.1736659,57.624506
-3.3819397,57.022280
-4.3891386,57.364755
-5.0391997,56.141218
-3.0841714,56.524793
-2.7259789,56.579511
-2.9480565,56.411804
-2.7628550,56.632296
-4.2365316,56.238348
-3.0026921,56.686189
-3.8193469,56.644606
-2.6414629,56.683291
-3.0173759,56.458603
-3.0259768,56.464642
-2.8600218,56.625643
-5.0825381,54.906349
-4.0600711,56.188751
-5.4833875,56.108443
-2.5216551,57.224654
-2.7742939,56.554064
-4.0900434,56.758699
-4.0901906,56.755462
-4.0884566,56.753694
-4.0869719,56.756414
-3.7568498,56.447283
-3.7491109,56.441282
-5.2768601,56.233471
-2.4156223,57.265114
-3.0427005,57.201824
-3.7027545,54.884933
-3.4030492,56.646132
-3.9465399,56.180886
-3.6154834,56.556758
-4.2808344,56.253356
-3.5876766,56.553253
-3.0476457,57.049061
-3.0551720,57.058700
-3.2789309,56.621683
-5.1929449,56.751947
-3.0255746,57.061641
-4.3810507,56.169503
-4.3304386,57.514120
-4.8254010,54.880070
-3.0570633,57.055630
-3.0362655,56.675241
-4.3334790,56.325169
-2.8628419,56.898736
-3.9734750,56.713334
-3.6711297,55.225158
-3.7190464,56.697976
-3.4048790,56.396778
-2.7896937,56.621707
-5.0197318,55.868060
-5.0966757,56.000992
-3.0923428,56.300104
-5.0276990,56.224201
-3.0005833,56.683619
-3.1009512,56.486821
-4.2147417,56.243862
-3.2467779,56.253720
-4.2921181,56.336726
-4.0522273,56.719251
-4.1576760,54.880011
-3.6331389,56.551136
-3.5805688,56.577873
-2.8363448,56.417100
-3.6985002,56.120743
-3.6985002,56.120743
-3.8268359,56.721861
-5.0600072,56.145738
-3.7957971,57.176778
-4.9344628,55.945634
-4.5059375,55.920047
-4.0425697,54.998938
-4.3853277,56.430230
-4.3027216,56.297886
-4.5408462,57.177559
-2.5991506,56.794003
-3.8381799,56.719897
-4.2235569,56.246140
-4.1809681,55.120304
-4.2535677,56.478526
-4.5452541,57.340351
-5.1681265,55.595253
-3.1222889,56.318345
-3.5960188,56.434450
-4.2713055,56.387239
-2.2389537,57.428521
-4.0059117,56.616667
-3.2999901,57.457705
-4.2651974,56.373591
-4.0389082,56.193865
-3.1929421,57.035903
-4.4293466,56.357477
-3.7774782,56.746027
-3.2990063,57.456754
-5.4246288,55.899706
-3.8010066,56.728527
-3.5723150,56.182080
-3.2080187,57.033332
-3.9026049,57.573767
-4.2201664,56.239991
-5.8068091,56.757082
-3.2184934,56.257596
-3.8010496,56.729425
-2.5752011,57.068382
-2.1671311,57.198678
-3.9327579,56.779568
-4.9739941,55.880411
-2.9925384,56.737678
-2.3660158,57.044195
-4.0838653,56.552483
-2.6174929,57.211643
-2.2344178,57.187790
-3.9780114,54.976996
-3.6639431,56.065501
-3.4215458,56.213468
-4.1997918,56.247724
-4.2127085,56.242191
-3.5745167,56.416485
-3.3983752,56.391730
-5.1809425,56.439337
-5.1809425,56.439337
-3.8123617,54.872624
-3.8300099,57.182842
-4.0188213,55.002391
-4.2653339,56.373436
-4.4069710,54.989934
-4.1082427,56.531493
-2.0016469,57.369463
-4.2478164,56.246411
-4.3816856,56.143337
-3.3726417,56.545302
-4.1380228,56.205221
-3.7256390,54.881976
